timestep,PositionX,PositionY,geo pos x,geo pos y,Speed,Lane ID,device one coord,device two coord,signalDistance,A1 to P,A2 to P,Delta 1,Delta two,Distance One Prime,Distance 2 Prime,Angle Predict One,Angle Predict Two,X Pos One Prime,Y Pos One Prime,geo Coord X1,geo Coord y1,X Pos 2 Prime,Y Pos 2 Prime,geo Coord X2,geo Coord Y2,AverageX,Average Y,Ave X Geo,Ave Y geo,,PositionX,PositionY,percent error ,
273.7,2292.497521,972.7766522,40.45992424,-79.92500872,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,8.727261399,4.784140542,0.171750934,0.112912191,8.899012333,4.897052734,32.07523237,74.79672807,2292.139192,973.2888064,40.45993095,-79.92501126,2292.112284,972.6001899,40.45992475,-79.92501168,2292.125738,972.9444982,40.45992785,-79.92501147,,2292.497521,972.7766522,-0.000162174,0.000172543
273.8,2292.789805,973.0132924,40.4599263,-79.92500711,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,8.952464127,4.983875227,0.18458613,0.117985079,9.137050257,5.101860306,32.94425171,76.8923987,2292.266413,973.532079,40.45993313,-79.92500973,2292.239505,972.8434625,40.45992693,-79.92501015,2292.252959,973.1877707,40.45993003,-79.92500994,,2292.789805,973.0132924,-0.000234145,0.000179317
273.9,2292.816231,973.255874,40.4599284,-79.92500363,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,9.32199954,5.17445672,0.102645272,0.177711057,9.424644812,5.352167777,33.90610829,79.20098892,2292.420611,973.8205266,40.45993571,-79.92500787,2292.393703,973.1319101,40.45992951,-79.92500829,2292.407157,973.4762183,40.45993261,-79.92500808,,2292.816231,973.255874,-0.000178416,0.000226399
274,2293.106192,973.5037091,40.45993058,-79.92500329,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,9.46314894,5.412542938,0.154852357,0.164095402,9.618001296,5.576638341,34.86445948,80.36693198,2292.490234,974.0611487,40.45993787,-79.92500701,2292.463326,973.3725322,40.45993167,-79.92500743,2292.47678,973.7168405,40.45993477,-79.92500722,,2293.106192,973.5037091,-0.00027448,0.000218932
274.1,2293.290428,973.7572165,40.45993278,-79.92499983,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,9.838105414,5.636663851,0.153290472,0.168267987,9.991395887,5.804931838,35.25117034,83.41646956,2292.757871,974.3297958,40.45994026,-79.92500382,2292.730963,973.6411793,40.45993406,-79.92500424,2292.744417,973.9854876,40.45993716,-79.92500403,,2293.290428,973.7572165,-0.000238091,0.000234423
274.2,2293.457504,974.0158756,40.45993505,-79.92499762,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,10.12552615,5.883646221,0.183703327,0.152589398,10.30922948,6.036235618,35.72183975,85.67558364,2292.968262,974.5821941,40.45994251,-79.9250013,2292.941354,973.8935776,40.45993631,-79.92500172,2292.954808,974.2378859,40.45993941,-79.92500151,,2293.457504,974.0158756,-0.000219187,0.000227933
274.3,2293.75249,974.2796271,40.45993736,-79.92499561,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,10.40252271,6.14165195,0.183912053,0.194601984,10.58643476,6.336253933,36.70372034,86.94868091,2293.086135,974.8904139,40.45994528,-79.92499987,2293.059227,974.2017974,40.45993908,-79.92500028,2293.072681,974.5461056,40.45994218,-79.92500008,,2293.75249,974.2796271,-0.000296374,0.000273513
274.4,2293.925185,974.5461716,40.4599397,-79.9249921,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,10.79221447,6.414985224,0.11303464,0.147576837,10.90524911,6.562562061,36.99092924,89.00065109,2293.308958,975.124707,40.45994736,-79.92499721,2293.28205,974.4360905,40.45994116,-79.92499762,2293.295504,974.7803987,40.45994426,-79.92499741,,2293.925185,974.5461716,-0.000274499,0.000240345
274.5,2294.217418,974.8172602,40.45994208,-79.92499002,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,11.08069532,6.692558965,0.113274311,0.174472865,11.19396963,6.86703183,37.83985989,90.12832501,2293.438796,975.4301577,40.4599501,-79.92499563,2293.411888,974.7415412,40.4599439,-79.92499605,2293.425342,975.0858495,40.459947,-79.92499584,,2294.217418,974.8172602,-0.000345249,0.000275528
274.6,2294.412779,975.0907434,40.45994449,-79.92498654,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,11.47325728,6.991097337,0.178394294,0.120082733,11.65165157,7.11118007,37.53730355,93.34109969,2293.837857,975.6622361,40.45995214,-79.92499089,2293.810949,974.9736196,40.45994595,-79.92499131,2293.824403,975.3179278,40.45994905,-79.9249911,,2294.412779,975.0907434,-0.000256439,0.000232988
274.7,2294.561329,975.3668049,40.45994693,-79.92498419,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,11.7867581,7.287426856,0.107567408,0.165113848,11.89432551,7.452540704,38.71053057,93.51188923,2293.879926,976.0016887,40.4599552,-79.92499035,2293.853018,975.3130722,40.459949,-79.92499076,2293.866472,975.6573805,40.4599521,-79.92499056,,2294.561329,975.3668049,-0.000302828,0.000297914
274.8,2294.77489,975.6464783,40.4599494,-79.9249824,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,12.06423558,7.582284715,0.125323725,0.127524812,12.1895593,7.709809527,39.07381711,94.74943526,2294.061776,976.2464796,40.45995738,-79.92498817,2294.034868,975.5578631,40.45995118,-79.92498858,2294.048322,975.9021713,40.45995428,-79.92498838,,2294.77489,975.6464783,-0.000316618,0.000262075
274.9,2294.930902,975.928612,40.4599519,-79.92497984,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,12.39881106,7.893235746,0.143019576,0.154940043,12.54183063,8.048175789,39.66413414,95.91849039,2294.253292,976.5684188,40.45996026,-79.92498586,2294.226384,975.8798023,40.45995406,-79.92498628,2294.239838,976.2241106,40.45995716,-79.92498607,,2294.930902,975.928612,-0.000301126,0.000302787
275,2295.225473,976.2128439,40.45995442,-79.92497796,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,12.68883761,8.198942475,0.134069765,0.125810393,12.82290737,8.324752868,40.14473891,96.74153144,2294.400664,976.8303371,40.4599626,-79.92498409,2294.373756,976.1417206,40.45995641,-79.9249845,2294.38721,976.4860289,40.45995951,-79.9249843,,2295.225473,976.2128439,-0.00036522,0.000279842
275.1,2295.274287,976.4990498,40.45995695,-79.92497445,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,13.09382871,8.536547746,0.113346122,0.156392315,13.20717484,8.692940061,40.69352473,97.8612261,2294.612386,977.1743891,40.45996568,-79.92498154,2294.585478,976.4857726,40.45995948,-79.92498196,2294.598932,976.8300808,40.45996258,-79.92498175,,2295.274287,976.4990498,-0.000294237,0.000338998
275.2,2295.571822,976.7880272,40.45995952,-79.92497383,0.3,:104530304_c1_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,13.30221461,8.826576649,0.11345149,0.127218184,13.4156661,8.953794832,41.37271224,97.97751601,2294.666064,977.4302885,40.45996798,-79.92498087,2294.639156,976.741672,40.45996178,-79.92498129,2294.65261,977.0859803,40.45996488,-79.92498108,,2295.571822,976.7880272,-0.000400428,0.000305034
275.3,2295.637697,977.0792222,40.4599621,-79.92497028,0.3,:104530304_c1_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,13.71350897,9.175101359,0.170959333,0.17369153,13.8844683,9.348792889,41.59870318,99.59431283,2294.981588,977.7811705,40.45997111,-79.9249771,2294.95468,977.092554,40.45996491,-79.92497752,2294.968134,977.4368623,40.45996801,-79.92497731,,2295.637697,977.0792222,-0.000291668,0.00036603
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000180537,0.00027601
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.018053707,0.027600983
